time,open,high,low,close,volume
1596202200,100.999899,101.136566,94.731905,95.383905,183704583
1596461400,96.613237,100.653906,96.292197,98.999901,132140322
1596547800,99.667234,101.827232,97.466569,99.133234,126224976
1596634200,99.532567,99.989127,97.887235,99.001234,74670299
1596720600,99.388567,101.153899,98.483902,99.305234,89884784
1596807000,99.969,99.983233,94.333906,96.847236,133446433
1597066200,96.533237,97.16657,92.389241,94.571239,112834072
1597152600,93.066574,94.666572,90.999909,91.625908,129387639
1597239000,97.999902,105.666561,95.666571,103.650563,328482838
1597325400,107.399893,110.078557,104.483896,108.066559,306379926
1597411800,110.999222,111.253222,108.442558,110.047223,188664398
1597671000,111.799888,123.05721,111.521888,122.375878,303635148
1597757400,126.599207,128.259872,123.00721,125.805874,247117612
1597843800,124.333209,127.399873,122.747211,125.235208,183080148
1597930200,124.045209,134.799199,123.803876,133.4552,309177249
1598016600,136.317197,139.699194,135.003198,136.665197,322343707
1598275800,141.751525,141.933191,128.501205,134.279866,300954615
1598362200,131.659202,135.196531,131.199869,134.889198,159883554
1598448600,137.333196,144.399856,136.90847,143.544523,213590943
1598535000,145.363855,153.039847,142.833191,149.249851,355396000
1598621400,153.007847,154.565845,145.767854,147.559852,301217941
1598880600,148.203185,166.713167,146.703187,166.106501,355123573
1598967000,167.379833,167.496499,156.83651,158.349842,270358527
1599053400,159.663174,159.67984,135.040065,149.123184,288528672
1599139800,135.743198,143.933189,133.999866,135.666531,262788520
1599226200,134.269866,142.666524,124.006576,139.439861,330965985
1599571800,118.666548,122.91321,109.95989,110.06989,346397419
1599658200,118.866548,122.999877,113.836553,122.093211,238397545
1599744600,128.736538,132.996534,120.186546,123.779876,254792078
1599831000,127.313206,127.499873,120.166547,124.239876,182152559
1600090200,126.983206,139.99986,124.433209,139.873193,249062073
1600176600,145.519854,153.979846,143.566523,149.91985,291894975
1600263000,146.623187,152.596514,145.103188,147.253186,217640497
1600349400,138.533195,145.929854,135.999897,141.143192,230337719
1600435800,149.313184,150.333183,142.93319,147.383186,259220716
1600695000,151.043182,151.893181,135.689864,149.796517,328430728
1600781400,143.199857,145.919854,139.199894,141.409859,238742623
1600867800,135.053198,137.383196,125.293241,126.78654,285222813
1600954200,121.266545,133.166533,117.099883,129.263204,289683472
1601040600,131.156536,136.243964,130.433203,135.779864,201625578
1601299800,141.539858,142.693191,138.516528,140.39986,149158832
1601386200,138.666528,142.833191,137.199863,139.68986,151024363
1601472600,140.43986,144.643189,140.156527,143.00319,144436842
1601559000,146.919853,149.626517,144.806522,149.386517,152224514
1601645400,140.463193,146.37652,138.333195,138.363195,214290289
1601904600,141.116526,144.546522,139.776527,141.893191,134168492
1601991000,141.263192,142.92649,135.349865,137.993195,147438924
1602077400,139.956527,143.299857,137.948195,141.766525,129383256
1602163800,146.146521,146.333187,141.766525,141.973191,121263469
1602250200,143.376523,144.863155,142.153225,144.666522,86777054
1602509400,147.333186,149.57985,146.193187,147.433186,116373515
1602595800,147.783186,149.62985,145.533188,148.883184,103391098
1602682200,149.926517,155.299845,149.116518,153.766513,144136326
1602768600,150.103183,152.189848,147.499852,149.626517,107017169
1602855000,151.479849,151.983148,146.283187,146.55652,98327735
1603114200,148.746518,148.999851,142.956524,143.609856,108863637
1603200600,143.916523,143.916523,139.683227,140.646526,94968961
1603287000,140.899859,144.316522,140.416526,140.879859,97111480
1603373400,147.306519,148.409852,141.503192,141.929858,119979692
1603459800,140.613193,140.961826,135.793231,140.20986,101151041
1603719000,137.209863,141.919858,136.66653,140.093193,84717567
1603805400,141.253192,143.499857,140.033193,141.559858,68059586
1603891800,138.826528,139.533194,135.333198,135.339865,76354303
1603978200,136.653197,139.353194,135.486531,136.943196,67965991
1604064600,135.631664,135.863697,126.369874,129.346537,127763044
1604327400,131.333202,135.659831,130.766536,133.5032,87063441
1604413800,136.57653,142.589857,135.563198,141.299859,103055248
1604500200,143.539856,145.133188,139.033194,140.326526,96429267
1604586600,142.766524,146.66652,141.333225,146.029854,85243654
1604673000,145.366521,145.523188,141.426525,143.316523,65118107
1604932200,146.499854,150.833183,140.333193,140.41986,104499179
1605018600,140.02986,140.02986,132.009901,136.78653,90852762
1605105000,138.816528,139.56486,136.859863,139.043194,52073218
1605191400,138.349862,140.999859,136.50653,137.253196,59821559
1605277800,136.949863,137.510496,133.886533,136.166531,59491112
1605537000,136.309864,137.483196,134.695465,136.029864,80515985
1605623400,153.389847,153.999846,144.336522,147.203186,183565026
1605709800,149.449851,165.333168,147.833219,162.213171,234132306
1605796200,163.999836,169.536897,162.523171,166.423167,187426225
1605882600,165.996501,167.499833,163.019837,163.20317,98735864
1606141800,167.833165,175.333158,167.263166,173.949826,150781062
1606228200,180.133153,186.663147,175.399825,185.126482,160945642
1606314600,183.35315,191.333142,181.789818,191.333142,146790632
1606487400,193.719806,199.593134,192.816474,195.253138,112683346
1606746600,200.736466,202.599797,184.836482,189.199811,189009345
1606833000,199.196467,199.283134,190.683143,194.919805,121148617
1606919400,185.479815,190.513143,180.403153,189.606477,143327102
1607005800,196.673137,199.656467,194.143139,197.793136,127656136
1607092200,197.003136,199.6798,195.166471,199.6798,88204030
1607351400,201.639698,216.26165,201.016466,213.919786,168929295
1607437800,208.501458,217.093116,206.16646,216.62645,192795279
1607524200,217.896449,218.106449,195.999804,201.493132,213873783
1607610600,191.456475,209.249791,188.779811,209.023124,201249660
1607697000,205.003128,207.999792,198.933134,203.329797,139425061
1607956200,206.333127,214.249752,203.39983,213.276453,156122103
1608042600,214.426452,215.633118,207.933125,211.083122,135670812
1608129000,209.409791,210.833122,201.666465,207.589792,126287565
1608215400,209.396457,219.606447,206.499793,218.633115,168810600
1608301800,222.966444,231.666435,209.513124,231.666435,666379248
1608561000,222.079778,222.83311,215.356451,216.619783,174135966
1608647400,215.999784,216.62645,204.743129,213.446453,155585087
1608733800,210.733123,217.166416,207.523159,215.326451,99519015
1608820200,214.329786,222.029778,213.666453,220.589779,68596772
1609165800,224.836442,227.133106,220.266446,221.229779,96835779
1609252200,220.333113,223.299777,218.333115,221.996445,68732501
1609338600,223.999776,232.199768,222.786544,231.593102,128538191
1609425000,233.329767,239.573094,230.373103,235.223098,148949932
1609770600,239.81976,248.163052,239.062928,243.256423,145914712
1609857000,241.219759,246.94642,239.733094,245.036422,96735591
1609943400,252.829747,257.999742,249.69975,251.993081,134100029
1610029800,259.209741,272.329728,258.399742,272.013061,154496998
1610116200,285.333048,294.829705,279.463054,293.339707,225166809
1610375400,283.13305,284.809715,267.873799,270.396396,178662616
1610461800,276.999723,289.333044,275.779724,283.146384,138812298
1610548200,284.253049,286.823047,277.333056,284.803049,99937587
1610634600,281.129719,287.666379,279.583054,281.666385,93799074
1610721000,283.999716,286.633047,273.03306,275.386391,116332904
1611066600,279.266387,283.33305,277.666389,281.516385,76101016
1611153000,286.24638,286.499714,279.093054,283.48305,76997725
1611239400,284.999715,285.239681,280.473086,281.663052,61794460
1611325800,278.103055,282.666384,276.20639,282.213051,60199551
1611585000,284.999715,300.133033,279.60642,293.599706,123520314
1611671400,297.12637,298.633035,290.533043,294.363039,69394878
1611757800,290.116377,297.16637,286.219714,288.053045,82001947
1611844200,273.33306,282.666384,266.999733,278.476388,79134223
1611930600,276.66649,280.803053,260.033073,264.509735,104972366
1612189800,271.429729,280.666386,265.186435,279.936387,76174231
1612276200,281.559718,293.499707,280.733253,290.929709,73038712
1612362600,292.339708,292.693041,284.354582,284.896382,55030585
1612449000,284.999715,285.499715,277.806389,283.329717,47438030
1612535400,281.666385,288.256378,279.656387,284.076383,55699966
1612794600,289.88971,292.589707,284.916382,287.806379,60485217
1612881000,285.039715,286.599713,280.583053,283.15305,45472998
1612967400,281.211385,281.606385,266.673067,268.273065,108648378
1613053800,270.813063,276.626357,267.241399,270.553063,64868323
1613140200,267.0864,272.443061,261.776605,272.039728,71305010
1613485800,272.666394,273.666393,264.146403,265.406401,59407031
1613572200,259.696407,266.613067,254.003079,266.049734,78236772
1613658600,260.29974,264.896402,258.756408,262.459738,53871227
1613745000,264.999735,265.596368,259.123074,260.433073,56874821
1614004200,254.213079,256.16641,236.733097,238.166429,111809259
1614090600,220.709779,237.869729,206.333127,232.946434,199820845
1614177000,237.283096,248.333085,231.389769,247.339753,110300960
1614263400,242.049758,245.735288,223.526443,227.406439,117071682
1614349800,233.3331,235.566431,219.836447,225.166442,123267642
1614609000,230.036437,239.666427,228.349772,239.476427,81408798
1614695400,239.426427,240.36976,228.333105,228.813105,71196545
1614781800,229.329771,233.566433,217.234783,217.733116,90623970
1614868200,218.599781,222.83311,199.9998,207.14646,197758787
1614954600,208.686458,209.280424,179.82982,199.316467,268189645
1615213800,200.183133,206.708127,186.263147,187.666479,155361029
1615300200,202.726464,226.029774,198.403135,224.526442,202570186
1615386600,233.4331,239.283094,218.353115,222.686444,181817197
1615473000,233.1331,234.166432,225.726441,233.199767,108761784
1615559400,223.33311,231.626435,222.046245,231.243102,100751620
1615815000,231.363102,237.726429,228.013105,235.979764,88270525
1615901400,234.449766,235.973097,223.666443,225.626441,96587112
1615987800,218.956448,234.576432,217.003116,233.936433,121117480
1616074200,228.096439,229.743104,217.333116,217.719782,100107166
1616160600,215.533118,219.076448,208.206492,218.289782,128682062
1616419800,228.196438,233.206433,222.916444,223.33311,118536781
1616506200,225.256441,225.933107,219.169781,220.719779,91475701
1616592600,222.636444,222.673111,210.036457,210.08979,101385623
1616679000,204.333129,215.166452,203.166464,213.46312,117674667
1616765400,213.956453,214.606452,199.963133,206.23646,101558582
1617024600,205.213128,205.493128,198.673135,203.76313,85911040
1617111000,200.583133,212.553121,197.003136,211.873121,118297195
1617197400,215.539784,223.999776,213.70312,222.643111,100011964
1617283800,229.456437,230.806536,219.806447,220.583113,105895239
1617629400,235.903097,236.053097,228.233105,230.34977,125528426
1617715800,230.09977,232.183101,227.123106,230.539769,84815601
1617802200,228.999771,230.45977,222.613111,223.656443,78928377
1617888600,225.793108,229.849737,223.881443,227.933105,71773058
1617975000,225.923107,226.989773,223.14311,225.673108,64311325
1618234200,228.566438,234.933098,227.363106,233.993099,87407097
1618320600,237.566429,254.333079,236.88643,254.106413,133958557
1618407000,256.899743,260.263073,242.676424,244.076423,147052449
1618493400,247.699752,247.896419,240.436426,246.283087,83546783
1618579800,242.88309,249.803084,241.533092,246.593087,83938661
1618839000,239.866427,241.799758,230.599803,238.209762,119058797
1618925400,239.139761,245.749754,236.894763,239.663094,106827220
1619011800,234.923098,248.279752,232.666434,248.039752,93646635
1619098200,247.16642,251.256415,239.346427,239.896427,106770871
1619184600,239.933093,245.786421,238.486428,243.13309,85241752
1619443800,246.999753,249.766417,244.201522,246.066421,93115599
